stress_case,perspective,scenario,is_reference,decision_eligible,mean_net_benefit_eur,median_net_benefit_eur,p10_net_benefit_eur,p90_net_benefit_eur,probability_positive,probability_nonnegative,worst_decile_mean_eur,mean_regret_eur,p95_regret_eur,best_option_share,mean_pv_replacement_cost_eur,mean_replacement_count,preference_utility_probability_positive,preference_utility_worst_decile_mean_eur,preference_utility_median_net_benefit_eur,preference_based_score,conditional_preference_rank,pareto_on_core_metrics,performance_basis,performance_pass_probability,performance_threshold_applicable,performance_threshold_pass,financial_threshold_pass,acceptable_under_proxy_thresholds
Baseline proxy,owner,Deep renovation + PV,False,True,-2006591.9306077259,-1979370.906239395,-2458016.4685533,-1590528.6077594953,0.0,0.0,-2676474.7668404267,2006591.9306077259,2615839.664146097,0.0,727442.5760290235,5.3733,0.0,0.0,0.0,0.0,3,False,Illustrative retained annual savings proxy; not indoor comfort,0.9784,True,True,False,False
Severe stress proxy,tenant,Envelope retrofit,False,True,242692.824504051,226397.87610791594,131848.5495591094,376302.2304500262,1.0,1.0,106261.9110203755,615031.37878594,1099927.6655437076,0.0,83713.76431860725,1.5028,1.0,1.0,0.726397876107916,0.9042392566377705,3,False,Illustrative retained annual savings proxy; not indoor comfort,0.1897,True,False,False,False
Severe stress proxy,tenant,Reference: no additional intervention,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,857724.2032899909,1531118.4446419522,0.0,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,4,False,Illustrative retained annual savings proxy; not indoor comfort,,False,,False,False
Severe stress proxy,combined_private,Deep renovation + PV,False,True,-1238048.7292455113,-1251278.6738192802,-1826551.33736052,-645939.0919242548,0.0086,0.0086,-2058989.4203635734,1250543.344445389,1989476.148435364,0.0006,727442.5760290235,5.3733,0.0086,0.0,0.0,0.00258,4,False,Illustrative retained annual savings proxy; not indoor comfort,0.1897,True,False,False,False
Severe stress proxy,combined_private,Envelope + heat pump,False,True,-421811.56405032147,-434545.3050748762,-721763.905876316,-105437.83351295881,0.0531,0.0531,-837466.250736867,434306.1792501991,803850.2157276153,0.0218,338816.12010782544,2.5403,0.0531,0.0,0.06545469492512383,0.03883914322379334,3,False,Illustrative retained annual savings proxy; not indoor comfort,0.1897,True,False,False,False
Severe stress proxy,combined_private,Envelope retrofit,False,True,-130145.01803976297,-136793.1449016182,-277985.9866383664,27670.553495028566,0.1383,0.1383,-328734.5141756019,142639.63323964065,313947.93054577935,0.1159,83713.76431860725,1.5028,0.1383,0.5616873144325308,0.3632068550983818,0.36520295933581937,2,True,Illustrative retained annual savings proxy; not indoor comfort,0.1897,True,False,False,False
Severe stress proxy,combined_private,Reference: no additional intervention,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12494.615199877679,83707.85961748437,0.8617,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,1,True,Illustrative retained annual savings proxy; not indoor comfort,,False,,False,False
Energy-disruption proxy,owner,Deep renovation + PV,False,True,-2058304.9572810296,-2030414.7703203151,-2512958.8755583987,-1641524.7004397842,0.0,0.0,-2731073.4139605877,2058304.9572810296,2675328.6105749677,0.0,727442.5760290235,5.3733,0.0,0.0,0.0,0.0,3,False,Illustrative retained annual savings proxy; not indoor comfort,0.7016,True,False,False,False
Energy-disruption proxy,owner,Envelope + heat pump,False,True,-876604.4232109304,-861494.5233189733,-1082782.1650515143,-686970.045372298,0.0,0.0,-1188532.9485233799,876604.4232109304,1156151.383757078,0.0,338816.12010782544,2.5403,0.0,0.0,0.0,0.0,3,False,Illustrative retained annual savings proxy; not indoor comfort,0.7016,True,False,False,False
Energy-disruption proxy,owner,Envelope retrofit,False,True,-361867.9896103319,-356273.5260413962,-460500.0801511493,-269624.93027873954,0.0,0.0,-506330.51790712366,361867.9896103319,495244.1902331555,0.0,83713.76431860725,1.5028,0.0,0.3248926427905018,0.1437264739586038,0.16401669086218695,2,False,Illustrative retained annual savings proxy; not indoor comfort,0.7016,True,False,False,False
Energy-disruption proxy,owner,Reference: no additional intervention,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,1,True,Illustrative retained annual savings proxy; not indoor comfort,,False,,False,False
Energy-disruption proxy,tenant,Deep renovation + PV,False,True,1081503.3202163293,1013759.310444144,588235.412855637,1670601.7172792698,1.0,1.0,475486.9816045417,0.0,0.0,1.0,727442.5760290235,5.3733,1.0,1.0,1.0,0.9999999999999999,1,True,Illustrative retained annual savings proxy; not indoor comfort,0.7016,True,False,True,False
Energy-disruption proxy,tenant,Envelope + heat pump,False,True,607664.0569583559,568419.5470632307,322072.84752960247,948515.3548966134,1.0,1.0,256667.24330952432,473839.2632579732,828640.2169290646,0.0,338816.12010782544,2.5403,1.0,1.0,1.0,0.9999999999999999,1,False,Illustrative retained annual savings proxy; not indoor comfort,0.7016,True,False,False,False
Energy-disruption proxy,tenant,Envelope retrofit,False,True,305350.97724342573,286043.6627844395,167141.02272090164,470124.43917184166,1.0,1.0,135592.11388374073,776152.3429729034,1381477.8530325107,0.0,83713.76431860725,1.5028,1.0,1.0,0.7860436627844395,0.9251152819745537,3,False,Illustrative retained annual savings proxy; not indoor comfort,0.7016,True,False,False,False
Energy-disruption proxy,tenant,Reference: no additional intervention,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1081503.3202163293,1922376.8455306084,0.0,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,4,False,Illustrative retained annual savings proxy; not indoor comfort,,False,,False,False
Energy-disruption proxy,combined_private,Deep renovation + PV,False,True,-976801.6370647007,-1003636.5545073869,-1620020.27531745,-290714.1575959588,0.0452,0.0452,-1872611.627551123,1020457.0412998134,1817319.9931330364,0.0056,727442.5760290235,5.3733,0.0452,0.0,0.0,0.01356,4,False,Illustrative retained annual savings proxy; not indoor comfort,0.7016,True,False,False,False
Energy-disruption proxy,combined_private,Envelope + heat pump,False,True,-268940.36625257466,-294198.95678499155,-611124.8204763609,109232.0787464589,0.1624,0.1624,-734484.7083481264,312595.77048768743,702640.4553780709,0.0834,338816.12010782544,2.5403,0.1624,0.02068705553583149,0.20580104321500844,0.12799083456279398,3,False,Illustrative retained annual savings proxy; not indoor comfort,0.7016,True,False,False,False
Energy-disruption proxy,combined_private,Envelope retrofit,False,True,-56517.01236690619,-69220.75442789416,-225897.48303412343,130635.28713457927,0.3131,0.3131,-280757.9553559114,100172.41660201905,273727.85450322955,0.2241,83713.76431860725,1.5028,0.3131,0.6256560595254514,0.43077924557210584,0.46368235678414504,2,True,Illustrative retained annual savings proxy; not indoor comfort,0.7016,True,False,False,False
Energy-disruption proxy,combined_private,Reference: no additional intervention,True,True,0.0,0.0,0.0,0.0,0.0,1.0,0.0,43655.404235112845,254468.0166425042,0.6869,0.0,0.0,0.0,1.0,0.5,0.5249999999999999,1,True,Illustrative retained annual savings proxy; not indoor comfort,,False,,False,False
